"","accommodates","bedrooms","beds","city","experience_stay","host_listings_count","host_has_profile_pic","listing_price","minimum_nights","maximum_nights","number_of_reviews","review_scores_rating","instant_bookable","private_stay"
"183",5,2,3,"Oakland",0,1,"t",139,2,1125,165,4.87,"f",1
"184",5,4,4,"Oakland",0,3,"t",143,7,90,27,4.37,"f",1
"185",2,1,1,"Oakland",0,2,"t",60,1,1125,6,5,"f",0
"186",8,4,5,"Oakland",0,3,"t",450,4,30,24,4.67,"f",1
"187",7,3,5,"Oakland",0,1,"t",475,2,1125,11,5,"t",1
"188",2,1,1,"Oakland",0,2,"t",100,1,4,74,4.96,"f",0
"189",2,1,1,"Oakland",0,2,"t",69,4,30,11,4.64,"f",0
"190",3,1,1,"Oakland",0,1,"t",226,15,30,2,5,"f",1
"191",2,1,1,"Oakland",0,1,"t",114,2,180,313,4.85,"f",0
"192",6,3,5,"Oakland",0,2,"t",301,2,29,206,4.95,"f",1
"193",1,1,1,"Oakland",0,1,"t",89,2,28,58,4.55,"f",0
"194",2,2,2,"Oakland",0,1,"t",144,6,60,63,4.92,"t",1
"195",2,1,1,"Oakland",0,7,"t",65,3,90,16,4.88,"f",0
"196",2,1,1,"Oakland",0,3,"t",100,30,180,16,4.44,"f",0
"197",2,1,1,"Oakland",0,1,"t",90,30,90,331,4.9,"f",0
"198",1,1,1,"Oakland",0,2,"t",65,5,300,96,4.83,"f",0
"199",3,1,2,"Oakland",0,1,"t",87,3,29,179,4.85,"t",0
"200",6,4,4,"Oakland",0,1,"t",195,3,20,9,4.56,"f",1
"201",2,1,1,"Oakland",0,1,"t",50,4,365,5,5,"f",0
"202",4,2,2,"Oakland",0,2,"t",380,3,1125,7,4.86,"f",1
"203",2,1,1,"Oakland",0,1,"t",118,2,1125,29,4.97,"f",0
"204",2,1,1,"Oakland",0,1,"t",95,5,45,19,4.84,"f",1
"205",2,3,1,"Oakland",0,3,"t",35,1,1125,9,5,"f",0
"206",1,1,1,"Oakland",0,1,"t",86,3,28,116,4.79,"f",0
"207",8,4,4,"Oakland",0,4,"t",943,3,60,15,4.8,"f",1
"208",2,1,1,"Oakland",0,2,"t",60,10,1125,3,5,"f",0
"209",1,1,2,"Oakland",0,1,"t",69,14,30,195,4.9,"f",0
"210",2,1,1,"Oakland",0,1,"t",50,5,5,169,4.5,"f",0
"211",4,2,2,"Oakland",0,1,"t",200,30,365,1,5,"f",1
"212",4,2,2,"Oakland",0,1,"t",185,3,5,20,4.9,"f",1
"213",4,2,2,"Oakland",0,1,"t",120,28,1125,46,4.8,"f",1
"214",5,2,3,"Oakland",0,2,"t",199,5,100,151,4.72,"f",0
"215",4,2,2,"Oakland",0,1,"t",150,5,15,42,4.83,"f",1
"216",6,4,4,"Oakland",0,1,"t",265,3,8,13,5,"f",1
"217",2,1,1,"Oakland",0,5,"t",105,21,120,141,4.6,"f",1
"218",5,1,3,"Oakland",0,8,"t",59,1,28,314,4.46,"t",0
"219",1,1,1,"Oakland",0,1,"t",99,6,1124,107,4.93,"f",0
"220",16,3,6,"Oakland",0,27,"t",564,30,1125,23,4.87,"f",1
"221",5,2,3,"Oakland",0,9,"t",153,3,55,120,4.86,"f",1
"222",3,1,1,"Oakland",0,1,"t",250,2,1125,12,4.92,"f",1
"223",4,1,2,"Oakland",0,2,"t",114,2,30,538,4.94,"f",1
"224",2,1,1,"Oakland",0,1,"t",131,2,7,7,4.86,"f",1
"225",2,1,1,"Oakland",0,1,"t",71,2,30,183,4.83,"f",0
"226",2,1,1,"Oakland",0,2,"t",68,3,1125,26,4.85,"f",0
"227",2,1,1,"Oakland",0,2,"t",115,1,1125,38,4.82,"f",0
"228",6,3,3,"Oakland",0,2,"t",200,7,1125,4,5,"f",1
"229",5,3,3,"Oakland",0,1,"t",700,1,10,28,4.86,"f",1
"230",6,3,3,"Oakland",0,2,"t",389,3,9,31,4.9,"f",1
"231",3,1,1,"Oakland",0,1,"t",125,8,1125,82,4.72,"f",1
"232",5,3,4,"Oakland",0,1,"t",215,3,14,6,5,"f",1
"233",2,1,2,"Oakland",0,2,"t",150,30,90,54,4.77,"f",1
"234",4,2,2,"Oakland",0,1,"t",115,30,365,1,5,"f",0
"235",2,1,1,"Oakland",0,2,"t",115,1,1125,15,4.33,"f",0
"236",5,2,2,"Oakland",0,1,"t",161,2,180,88,4.65,"t",1
"237",3,1,1,"Oakland",0,1,"t",95,2,1125,51,4.51,"f",0
"238",1,1,2,"Oakland",0,3,"t",44,7,120,1,5,"f",0
"239",1,1,1,"Oakland",0,3,"t",50,7,120,9,4.11,"f",0
"240",2,1,1,"Oakland",0,1,"t",175,2,28,243,4.98,"f",1
"241",1,1,1,"Oakland",0,2,"t",65,15,365,10,5,"f",0
"242",2,1,1,"Oakland",0,1,"t",170,2,1125,57,4.63,"t",1
"243",2,1,1,"Oakland",0,4,"t",68,2,29,83,4.82,"f",0
"244",2,1,1,"Oakland",0,1,"t",135,3,1125,214,4.98,"f",1
"245",2,1,1,"Oakland",0,2,"t",112,2,20,429,4.81,"f",0
"246",2,1,1,"Oakland",0,1,"t",169,7,1125,18,4.5,"f",1
"247",4,2,2,"Oakland",0,1,"t",119,2,21,217,4.94,"f",1
"248",2,1,1,"Oakland",0,1,"t",65,4,30,25,4.88,"f",0
"249",2,1,1,"Oakland",0,1,"t",77,3,365,76,4.71,"f",1
"250",2,1,1,"Oakland",0,1,"t",70,2,7,234,4.95,"f",0
"251",1,1,1,"Oakland",0,6,"t",60,5,1125,34,4.74,"f",0
"252",1,1,1,"Oakland",0,6,"t",60,5,1125,30,4.77,"f",0
"253",1,1,1,"Oakland",0,6,"t",60,4,1125,23,4.87,"f",0
"254",3,1,1,"Oakland",0,13,"t",81,28,1125,59,4.03,"f",1
"255",2,1,1,"Oakland",0,2,"t",126,2,31,221,4.84,"f",1
"256",4,2,2,"Oakland",0,1,"t",220,3,14,5,5,"f",1
"257",5,2,3,"Oakland",0,1,"t",166,3,1125,83,4.86,"f",1
"258",1,1,1,"Oakland",0,3,"t",72,30,120,40,5,"f",0
"259",8,4,5,"Oakland",0,1,"t",289,5,26,3,5,"f",1
"260",2,1,1,"Oakland",0,1,"t",85,10,1125,44,4.7,"f",1
"261",10,4,5,"Oakland",0,1,"t",240,2,1125,62,4.94,"f",1
"262",1,2,1,"Oakland",0,1,"t",60,7,1125,33,4.94,"f",0
"263",4,1,2,"Oakland",0,1,"t",212,2,1125,146,4.9,"f",1
"264",1,1,1,"Oakland",0,1,"t",85,30,200,32,4.91,"f",0
"265",2,1,1,"Oakland",0,1,"t",120,31,365,12,5,"f",1
"266",1,1,1,"Oakland",0,1,"t",75,4,1125,6,4.83,"f",0
"267",4,2,2,"Oakland",0,5,"t",84,30,300,11,4.55,"f",1
"268",2,1,1,"Oakland",0,22,"t",86,4,365,141,4.65,"f",1
"269",6,3,4,"Oakland",0,1,"t",425,3,14,1,5,"f",1
"270",2,1,4,"Oakland",0,1,"t",150,1,30,27,4.96,"f",1
"271",4,3,2,"Oakland",0,2,"t",463,2,1125,40,4.85,"f",1
"272",2,1,1,"Oakland",0,1,"t",74,1,1125,316,4.92,"t",0
"273",4,2,2,"Oakland",0,3,"t",90,10,29,26,4.42,"f",1
"274",4,2,2,"Oakland",0,3,"t",100,10,29,30,4.45,"f",1
"275",2,1,2,"Oakland",0,1,"t",89,7,130,76,4.92,"f",1
"276",2,1,1,"Oakland",0,2,"t",190,2,1125,17,4.88,"f",1
"277",2,1,1,"Oakland",0,27,"t",45,1,20,51,4.45,"t",0
"278",2,1,1,"Oakland",0,3,"t",125,14,1125,77,4.75,"f",1
"279",4,1,2,"Oakland",0,1,"t",275,2,1125,98,4.8,"f",0
"280",1,1,1,"Oakland",0,3,"t",50,2,14,107,4.84,"f",0
"281",5,2,3,"Oakland",0,1,"t",350,5,21,18,4.89,"f",1
"282",5,1,3,"Oakland",0,21,"t",165,5,360,7,3.43,"f",1
"283",3,1,1,"Oakland",0,1,"t",60,10,90,40,4.82,"f",0
"284",3,1,2,"Oakland",0,7,"t",100,10,1125,30,4.67,"f",1
"285",4,2,3,"Oakland",0,1,"t",190,5,1125,57,4.86,"f",1
"286",2,1,1,"Oakland",0,3,"t",58,1,1125,214,4.68,"t",0
"287",3,1,2,"Oakland",0,3,"t",149,2,1125,216,4.89,"f",0
"288",4,2,2,"Oakland",0,1,"t",144,4,1125,7,5,"f",1
"289",5,1,2,"Oakland",0,21,"t",175,5,180,8,3.86,"f",1
"290",2,1,1,"Oakland",0,1,"t",120,2,8,98,4.98,"f",0
"291",4,2,3,"Oakland",0,1,"t",70,2,30,219,4.83,"f",0
"292",2,1,2,"Oakland",0,3,"t",65,1,1125,119,4.76,"f",0
"293",2,1,2,"Oakland",0,8,"t",60,1,7,189,4.29,"t",0
"294",4,2,2,"Oakland",0,1,"t",275,5,28,137,4.91,"f",1
"295",2,1,1,"Oakland",0,1,"t",150,1,1125,1,5,"f",0
"296",5,2,2,"Oakland",0,4,"t",249,2,1125,39,4.69,"f",1
"297",2,1,1,"Oakland",0,3,"t",89,7,29,33,4.94,"f",0
"298",10,4,5,"Oakland",0,3,"t",999,366,367,6,5,"f",1
"299",4,2,2,"Oakland",0,1,"t",225,7,1125,41,4.83,"f",0
"300",6,2,3,"Oakland",0,3,"t",105,30,1125,3,5,"f",1
"301",2,1,1,"Oakland",0,1,"t",71,3,90,233,4.78,"f",0
